,US_M2_USD,dff,^GSPC,gini_coefficient
2010-11-01,8794600.0,0.2,1184.3800048828125,0.5281674099530304
2010-12-01,8878900.0,0.2,1206.0699462890625,0.5299666614829092
2011-01-01,8872600.0,0.13,1271.8699951171875,0.5291429174459599
2011-02-01,8909500.0,0.18,1307.5899658203125,0.5287364147066359
2011-03-01,9024500.0,0.15,1306.3299560546875,0.530304556221353
2011-04-01,9081000.0,0.11,1332.4100341796875,0.5309537157891333
2011-05-01,9052400.0,0.09,1361.219970703125,0.5311465466690225
2011-06-01,9139300.0,0.1,1314.550048828125,0.530960777671927
2011-07-01,9288400.0,0.08,1339.6700439453125,0.5312243504021681
2011-08-01,9479300.0,0.17,1286.93994140625,0.532284423714649
2011-09-01,9517200.0,0.08,1204.4200439453125,0.5320126386658982
2011-10-01,9566100.0,0.06,1099.22998046875,0.5326351357518828
2011-11-01,9650200.0,0.08,1218.280029296875,0.5330869808756092
2011-12-01,9746600.0,0.08,1244.5799560546875,0.5317974857578399
2012-01-01,9779500.0,0.04,1277.06005859375,0.5318752920045727
2012-02-01,9803700.0,0.11,1324.0899658203125,0.5319551509638929
2012-03-01,9918900.0,0.11,1374.0899658203125,0.532106370458165
2012-04-01,9964100.0,0.09,1419.0400390625,0.5327861584305205
2012-05-01,9897300.0,0.16,1405.8199462890625,0.5341853299077088
2012-06-01,9974300.0,0.16,1278.0400390625,0.5341803295151013
2012-07-01,10019600.0,0.09,1365.510009765625,0.5355950504812951
2012-08-01,10083900.0,0.14,1375.3199462890625,0.5350092062277182
2012-09-01,10180900.0,0.13,1404.93994140625,0.5365127810896257
2012-10-01,10261300.0,0.15,1444.489990234375,0.5367642938683346
2012-11-01,10357200.0,0.17,1427.5899658203125,0.5383587674311291
2012-12-01,10546200.0,0.16,1409.4599609375,0.5391576629357757
2013-01-01,10521800.0,0.09,1462.4200439453125,0.5384918948023523
2013-02-01,10495500.0,0.14,1513.1700439453125,0.5380438913067426
2013-03-01,10641700.0,0.14,1518.199951171875,0.5367092802867546
2013-04-01,10669800.0,0.16,1562.1700439453125,0.536223115652945
2013-05-01,10592300.0,0.14,1582.699951171875,0.5355376150001141
2013-06-01,10656700.0,0.09,1640.4200439453125,0.5354807901730414
2013-07-01,10695200.0,0.1,1614.9599609375,0.535457200234797
2013-08-01,10750800.0,0.08,1706.8699951171875,0.537154559559683
2013-09-01,10818700.0,0.07,1639.77001953125,0.5373459202840993
2013-10-01,10945600.0,0.08,1695.0,0.5369321032519423
